"YEAR","MONTH","DAY_OF_MONTH","FL_DATE","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","DIVERTED","ACTUAL_ELAPSED_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,7,12,2019-07-12,"ATL","BWI","0946",14.00,0.00,7.00,0.00,0.00,0.00,107.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","ATL","1224",19.00,1.00,6.00,0.00,0.00,0.00,100.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","DTW","1803",0.00,0.00,0.00,0.00,0.00,0.00,85.00,409.00,,,,,,
2019,7,12,2019-07-12,"DTW","BWI","1540",0.00,0.00,0.00,0.00,0.00,0.00,78.00,409.00,,,,,,
2019,7,12,2019-07-12,"ATL","BWI","2126",9.00,0.00,0.00,0.00,0.00,0.00,109.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","DTW","0615",39.00,1.00,33.00,1.00,0.00,0.00,85.00,409.00,33.00,0.00,0.00,0.00,0.00,
2019,7,12,2019-07-12,"BWI","DTW","1320",8.00,0.00,0.00,0.00,0.00,0.00,79.00,409.00,,,,,,
2019,7,12,2019-07-12,"MSP","BWI","1802",0.00,0.00,0.00,0.00,0.00,0.00,139.00,936.00,,,,,,
2019,7,12,2019-07-12,"SLC","BWI","2246",0.00,0.00,0.00,0.00,0.00,0.00,241.00,1865.00,,,,,,
2019,7,12,2019-07-12,"ATL","BWI","1837",0.00,0.00,0.00,0.00,0.00,0.00,123.00,577.00,,,,,,
2019,7,12,2019-07-12,"ATL","BWI","0837",0.00,0.00,0.00,0.00,0.00,0.00,104.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","ATL","1110",0.00,0.00,0.00,0.00,0.00,0.00,95.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","ATL","0900",52.00,1.00,47.00,1.00,0.00,0.00,105.00,577.00,47.00,0.00,0.00,0.00,0.00,
2019,7,12,2019-07-12,"ATL","BWI","0726",3.00,0.00,7.00,0.00,0.00,0.00,114.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","ATL","1000",13.00,0.00,5.00,0.00,0.00,0.00,97.00,577.00,,,,,,
2019,7,12,2019-07-12,"ATL","BWI","1540",79.00,1.00,60.00,1.00,0.00,0.00,105.00,577.00,60.00,0.00,0.00,0.00,0.00,
2019,7,12,2019-07-12,"BWI","ATL","1828",171.00,1.00,147.00,1.00,0.00,0.00,98.00,577.00,95.00,0.00,0.00,0.00,52.00,
2019,7,12,2019-07-12,"BWI","ATL","0600",58.00,1.00,74.00,1.00,0.00,0.00,122.00,577.00,58.00,0.00,16.00,0.00,0.00,
2019,7,12,2019-07-12,"ATL","BWI","2255",1.00,0.00,5.00,0.00,0.00,0.00,124.00,577.00,,,,,,
2019,7,12,2019-07-12,"BWI","ATL","0800",97.00,1.00,78.00,1.00,0.00,0.00,94.00,577.00,78.00,0.00,0.00,0.00,0.00,
2019,7,12,2019-07-12,"DTW","BWI","2245",0.00,0.00,0.00,0.00,0.00,0.00,87.00,409.00,,,,,,
2019,7,13,2019-07-13,"ATL","BWI","2159",0.00,0.00,0.00,0.00,0.00,0.00,109.00,577.00,,,,,,
2019,7,13,2019-07-13,"BWI","SLC","0725",0.00,0.00,0.00,0.00,0.00,0.00,257.00,1865.00,,,,,,
2019,7,13,2019-07-13,"BWI","ATL","1145",0.00,0.00,0.00,0.00,0.00,0.00,102.00,577.00,,,,,,
2019,7,13,2019-07-13,"DTW","BWI","0820",0.00,0.00,0.00,0.00,0.00,0.00,84.00,409.00,,,,,,
2019,7,13,2019-07-13,"ATL","BWI","1622",16.00,1.00,7.00,0.00,0.00,0.00,109.00,577.00,,,,,,
2019,7,13,2019-07-13,"SLC","BWI","0955",0.00,0.00,0.00,0.00,0.00,0.00,255.00,1865.00,,,,,,
2019,7,13,2019-07-13,"DTW","BWI","0955",0.00,0.00,0.00,0.00,0.00,0.00,88.00,409.00,,,,,,
2019,7,13,2019-07-13,"ATL","BWI","1418",7.00,0.00,0.00,0.00,0.00,0.00,104.00,577.00,,,,,,
2019,7,13,2019-07-13,"BWI","MSP","1716",0.00,0.00,0.00,0.00,0.00,0.00,151.00,936.00,,,,,,
2019,7,13,2019-07-13,"MSP","BWI","1253",0.00,0.00,0.00,0.00,0.00,0.00,148.00,936.00,,,,,,
2019,7,13,2019-07-13,"BWI","MSP","0607",0.00,0.00,0.00,0.00,0.00,0.00,145.00,936.00,,,,,,
2019,7,13,2019-07-13,"BWI","ATL","0700",0.00,0.00,7.00,0.00,0.00,0.00,121.00,577.00,,,,,,
2019,7,13,2019-07-13,"ATL","BWI","1213",0.00,0.00,0.00,0.00,0.00,0.00,110.00,577.00,,,,,,
2019,7,13,2019-07-13,"BWI","ATL","1500",0.00,0.00,0.00,0.00,0.00,0.00,112.00,577.00,,,,,,
2019,7,13,2019-07-13,"BWI","MSP","1222",0.00,0.00,0.00,0.00,0.00,0.00,149.00,936.00,,,,,,
2019,7,13,2019-07-13,"MSP","BWI","0905",0.00,0.00,0.00,0.00,0.00,0.00,141.00,936.00,,,,,,
2019,7,13,2019-07-13,"ATL","BWI","2010",0.00,0.00,0.00,0.00,0.00,0.00,111.00,577.00,,,,,,
2019,7,13,2019-07-13,"BWI","DTW","1000",64.00,1.00,57.00,1.00,0.00,0.00,81.00,409.00,57.00,0.00,0.00,0.00,0.00,
2019,7,13,2019-07-13,"ATL","BWI","0944",0.00,0.00,0.00,0.00,0.00,0.00,101.00,577.00,,,,,,
