YEAR,MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN,DEST,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,7,12,7/12/19,ATL,BWI,14,0,7,0,107,577,,,,,
2019,7,12,7/12/19,BWI,ATL,19,1,6,0,100,577,,,,,
2019,7,12,7/12/19,BWI,DTW,0,0,0,0,85,409,,,,,
2019,7,12,7/12/19,DTW,BWI,0,0,0,0,78,409,,,,,
2019,7,12,7/12/19,ATL,BWI,9,0,0,0,109,577,,,,,
2019,7,12,7/12/19,BWI,DTW,39,1,33,1,85,409,33,0,0,0,0
2019,7,12,7/12/19,BWI,DTW,8,0,0,0,79,409,,,,,
2019,7,12,7/12/19,MSP,BWI,0,0,0,0,139,936,,,,,
2019,7,12,7/12/19,SLC,BWI,0,0,0,0,241,1865,,,,,
2019,7,12,7/12/19,ATL,BWI,0,0,0,0,123,577,,,,,
2019,7,12,7/12/19,ATL,BWI,0,0,0,0,104,577,,,,,
2019,7,12,7/12/19,BWI,ATL,0,0,0,0,95,577,,,,,
2019,7,12,7/12/19,BWI,ATL,52,1,47,1,105,577,47,0,0,0,0
2019,7,12,7/12/19,ATL,BWI,3,0,7,0,114,577,,,,,
2019,7,12,7/12/19,BWI,ATL,13,0,5,0,97,577,,,,,
2019,7,12,7/12/19,ATL,BWI,79,1,60,1,105,577,60,0,0,0,0
2019,7,12,7/12/19,BWI,ATL,171,1,147,1,98,577,95,0,0,0,52
2019,7,12,7/12/19,BWI,ATL,58,1,74,1,122,577,58,0,16,0,0
2019,7,12,7/12/19,ATL,BWI,1,0,5,0,124,577,,,,,
2019,7,12,7/12/19,BWI,ATL,97,1,78,1,94,577,78,0,0,0,0
2019,7,12,7/12/19,DTW,BWI,0,0,0,0,87,409,,,,,
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,109,577,,,,,
2019,7,13,7/13/19,BWI,SLC,0,0,0,0,257,1865,,,,,
2019,7,13,7/13/19,BWI,ATL,0,0,0,0,102,577,,,,,
2019,7,13,7/13/19,DTW,BWI,0,0,0,0,84,409,,,,,
2019,7,13,7/13/19,ATL,BWI,16,1,7,0,109,577,,,,,
2019,7,13,7/13/19,SLC,BWI,0,0,0,0,255,1865,,,,,
2019,7,13,7/13/19,DTW,BWI,0,0,0,0,88,409,,,,,
2019,7,13,7/13/19,ATL,BWI,7,0,0,0,104,577,,,,,
2019,7,13,7/13/19,BWI,MSP,0,0,0,0,151,936,,,,,
2019,7,13,7/13/19,MSP,BWI,0,0,0,0,148,936,,,,,
2019,7,13,7/13/19,BWI,MSP,0,0,0,0,145,936,,,,,
2019,7,13,7/13/19,BWI,ATL,0,0,7,0,121,577,,,,,
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,110,577,,,,,
2019,7,13,7/13/19,BWI,ATL,0,0,0,0,112,577,,,,,
2019,7,13,7/13/19,BWI,MSP,0,0,0,0,149,936,,,,,
2019,7,13,7/13/19,MSP,BWI,0,0,0,0,141,936,,,,,
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,111,577,,,,,
2019,7,13,7/13/19,BWI,DTW,64,1,57,1,81,409,57,0,0,0,0
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,101,577,,,,,
2019,7,13,7/13/19,BWI,DTW,0,0,2,0,95,409,,,,,
2019,7,13,7/13/19,DTW,BWI,19,1,6,0,81,409,,,,,
2019,7,13,7/13/19,BWI,DTW,0,0,0,0,78,409,,,,,
2019,7,13,7/13/19,BWI,DTW,0,0,0,0,81,409,,,,,
2019,7,13,7/13/19,MSP,BWI,0,0,0,0,134,936,,,,,
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,108,577,,,,,
2019,7,13,7/13/19,ATL,BWI,0,0,0,0,102,577,,,,,
2019,7,13,7/13/19,BWI,ATL,0,0,0,0,110,577,,,,,
2019,7,13,7/13/19,BWI,ATL,0,0,0,0,96,577,,,,,
